id,action1,action2,action3,prob,time
1,open_feed,scroll_slow,pause_post,0.05,20-80
2,open_feed,scroll_fast,stop_abrupt,0.04,15-60
3,open_feed,refresh,scroll,0.04,15-50
4,open_post,view_caption,close_post,0.05,10-40
6,open_post,watch_video,exit,0.05,15-60
7,open_post,replay_video,scroll,0.03,15-50
8,open_post,pause_video,exit,0.03,10-40
9,open_post,expand_caption,collapse,0.04,15-40
10,open_post,swipe_next,close,0.03,10-30
11,open_story,watch,next,0.05,15-60
13,open_story,pause,replay,0.03,20-60
14,open_story,swipe_user,exit,0.04,15-50
15,open_story,watch_partial,exit,0.05,10-40
17,open_story,pause,exit,0.03,15-50
18,open_story,next_user,watch,0.04,20-70
19,open_story,watch,background,0.02,30-90
20,open_story,replay,exit,0.03,15-50
21,open_explore,scroll,open_post,0.05,20-80
23,open_explore,open_post,close,0.05,10-40
24,open_explore,watch_reel,swipe,0.05,20-70
25,open_explore,watch_reel,exit,0.04,15-60
26,open_explore,scroll,pause,0.03,20-60
27,open_explore,open_profile,exit,0.03,15-50
28,open_explore,scroll,refresh,0.03,20-60
29,open_explore,watch_reel,replay,0.03,20-70
30,open_explore,scroll,exit,0.04,15-50
31,open_profile,scroll_grid,exit,0.05,15-60
32,open_profile,open_post,close,0.05,15-50
33,open_profile,view_bio,exit,0.04,10-30
35,open_profile,scroll,pause,0.04,15-50
36,open_profile,open_post,swipe,0.03,15-50
37,open_profile,scroll,exit_fast,0.03,10-30
38,open_profile,view_bio,scroll,0.03,15-50
39,open_profile,open_post,zoom,0.03,10-40
40,open_profile,open_post,replay_video,0.03,15-60
41,open_notifications,scroll,exit,0.05,15-50
43,open_notifications,scroll,pause,0.03,20-60
44,open_notifications,open,exit,0.03,15-50
45,open_notifications,refresh,scroll,0.03,15-50
46,open_own_profile,scroll,exit,0.05,15-50
47,open_own_profile,open_post,close,0.04,15-50
48,open_own_profile,view_story,exit,0.03,10-30
49,open_own_profile,scroll,pause,0.03,15-50
50,open_own_profile,refresh,exit,0.03,15-40
51,open_reels,swipe,swipe,0.05,20-70
52,open_reels,watch,exit,0.05,15-60
53,open_reels,watch,replay,0.03,20-70
54,open_reels,swipe_fast,exit,0.04,15-50
55,open_reels,pause,exit,0.03,15-50
57,open_search,click_suggestion,back,0.03,15-50
58,open_search,scroll_results,exit,0.03,20-60
59,open_search,type,clear,0.02,10-30
60,open_search,open_profile,exit,0.03,15-50
61,open_settings,scroll,exit,0.02,15-40
63,open_settings,open_account,exit,0.02,15-40
64,open_settings,scroll,pause,0.02,20-50
66,idle,background,return,0.05,40-180
67,idle,screen_on,scroll,0.04,30-120
68,idle,open_app,close,0.04,10-30
69,idle,pause,exit,0.03,30-120
71,open_post,save,exit,0.03,10-30
72,open_post,unsave,scroll,0.02,10-30
73,open_post,share_sheet,cancel,0.02,10-30
74,open_post,copy_link,exit,0.02,10-30
75,open_post,view_tags,exit,0.03,15-40
76,open_post,open_comments,close,0.05,20-60
77,open_post,scroll_comments,exit,0.05,20-60
78,open_post,like_comment,exit,0.03,15-50
79,open_post,open_comments,pause,0.03,20-60
80,open_post,scroll_comments,back,0.04,20-60
81,open_feed,scroll,open_profile,0.05,20-70
82,open_feed,scroll,open_post,0.05,20-70
83,open_feed,pause,exit,0.04,20-60
84,open_feed,scroll,refresh,0.04,20-60
85,open_feed,scroll,background,0.03,30-120
86,open_explore,open_post,save,0.03,15-50
87,open_explore,watch,pause,0.03,20-60
88,open_explore,scroll,open_profile,0.03,20-60
89,open_explore,scroll,exit_fast,0.03,15-50
90,open_explore,watch,background,0.02,40-120
91,open_reels,swipe,pause,0.04,20-70
92,open_reels,watch,background,0.03,40-120
93,open_reels,swipe,exit,0.04,15-50
94,open_reels,replay,exit,0.03,20-60
95,open_reels,pause,swipe,0.03,20-60
96,open_profile,scroll,open_reel,0.03,20-60
98,open_profile,open_post,pause,0.03,20-60
99,open_profile,scroll,background,0.02,40-120
100,open_profile,open_post,exit_fast,0.03,10-30
