id,action1,action2,action3,prob,time
1,open_feed,scroll_slow,pause_post,0.66,20-80
2,open_feed,scroll,open_post,0.06,20-70
3,open_feed,refresh,scroll,0.05,20-60
4,open_post,read_caption,exit,0.06,15-50
5,open_post,like,scroll,0.05,15-50
6,open_post,open_comments,close,0.05,20-60
7,open_post,scroll_comments,exit,0.04,20-60
8,open_post,react,exit,0.04,15-40
9,open_post,share,cancel,0.03,15-40
10,open_post,save,exit,0.03,10-30
11,open_profile,view_bio,exit,0.05,15-50
12,open_profile,scroll,open_post,0.05,20-60
13,open_profile,scroll,exit,0.44,20-60
14,open_profile,view_experience,exit,0.04,15-50
15,open_profile,view_activity,scroll,0.04,20-60
16,open_search,type,open_profile,0.05,20-60
17,open_search,scroll_results,exit,0.04,20-60
18,open_search,click_suggestion,back,0.04,15-50
19,open_notifications,scroll,exit,0.05,15-50
20,open_notifications,open,back,0.04,15-50
23,open_feed,scroll,open_profile,0.05,20-70
24,open_feed,pause,exit,0.04,20-60
25,open_feed,scroll,background,0.03,40-120
26,open_post,follow_author,exit,0.03,10-30
27,open_post,click_hashtag,scroll,0.03,20-60
28,open_profile,connect,exit,0.03,10-30
29,open_profile,message_click,exit,0.02,10-30
30,idle,background,return,0.05,40-180
31,idle,screen_on,scroll,0.04,30-120
32,idle,open_app,close,0.04,10-30
33,idle,pause,exit,0.03,30-120
34,open_post,copy_link,exit,0.02,10-30
35,open_post,expand_text,collapse,0.04,15-40
36,open_post,view_reactions,exit,0.03,15-50
37,open_profile,scroll,pause,0.04,20-60
38,open_profile,open_post,like,0.03,15-50
39,open_search,type,clear,0.02,10-30
